trip_id,arrival_time,departure_time,stop_id,stop_sequence
R1_T01,06:00:00,06:00:00,S1,1
R1_T01,06:04:00,06:05:00,S2a,2
R1_T01,06:09:00,06:10:00,S9,3
R1_T01,06:14:00,06:15:00,S5,4
R1_T01,06:20:00,06:20:00,S8,5
R1_T02,06:30:00,06:30:00,S1,1
R1_T02,06:34:00,06:35:00,S2a,2
R1_T02,06:39:00,06:40:00,S9,3
R1_T02,06:44:00,06:45:00,S5,4
R1_T02,06:50:00,06:50:00,S8,5
R1_T03,07:00:00,07:00:00,S1,1
R1_T03,07:04:00,07:05:00,S2a,2
R1_T03,07:09:00,07:10:00,S9,3
R1_T03,07:14:00,07:15:00,S5,4
R1_T03,07:20:00,07:20:00,S8,5
R1_T04,07:30:00,07:30:00,S1,1
R1_T04,07:34:00,07:35:00,S2a,2
R1_T04,07:39:00,07:40:00,S9,3
R1_T04,07:44:00,07:45:00,S5,4
R1_T04,07:50:00,07:50:00,S8,5
R1_T05,08:00:00,08:00:00,S1,1
R1_T05,08:04:00,08:05:00,S2a,2
R1_T05,08:09:00,08:10:00,S9,3
R1_T05,08:14:00,08:15:00,S5,4
R1_T05,08:20:00,08:20:00,S8,5
R1_T06,06:00:00,06:00:00,S8,1
R1_T06,06:06:00,06:07:00,S5,2
R1_T06,06:11:00,06:12:00,S9,3
R1_T06,06:16:00,06:17:00,S2b,4
R1_T06,06:21:00,06:21:00,S1,5
R1_T07,06:30:00,06:30:00,S8,1
R1_T07,06:36:00,06:37:00,S5,2
R1_T07,06:41:00,06:42:00,S9,3
R1_T07,06:46:00,06:47:00,S2b,4
R1_T07,06:51:00,06:51:00,S1,5
R1_T08,07:00:00,07:00:00,S8,1
R1_T08,07:06:00,07:07:00,S5,2
R1_T08,07:11:00,07:12:00,S9,3
R1_T08,07:16:00,07:17:00,S2b,4
R1_T08,07:21:00,07:21:00,S1,5
R1_T09,07:30:00,07:30:00,S8,1
R1_T09,07:36:00,07:37:00,S5,2
R1_T09,07:41:00,07:42:00,S9,3
R1_T09,07:46:00,07:47:00,S2b,4
R1_T09,07:51:00,07:51:00,S1,5
R1_T10,08:00:00,08:00:00,S8,1
R1_T10,08:06:00,08:07:00,S5,2
R1_T10,08:11:00,08:12:00,S9,3
R1_T10,08:16:00,08:17:00,S2b,4
R1_T10,08:21:00,08:21:00,S1,5
R2_T01,06:00:00,06:00:00,S1,1
R2_T01,06:05:00,06:06:00,S3,2
R2_T01,06:10:00,06:11:00,S6,3
R2_T01,06:16:00,06:16:00,S10,4
R2_T02,06:30:00,06:30:00,S1,1
R2_T02,06:35:00,06:36:00,S3,2
R2_T02,06:40:00,06:41:00,S6,3
R2_T02,06:46:00,06:46:00,S10,4
R2_T03,07:00:00,07:00:00,S1,1
R2_T03,07:05:00,07:06:00,S3,2
R2_T03,07:10:00,07:11:00,S6,3
R2_T03,07:16:00,07:16:00,S10,4
R2_T04,07:30:00,07:30:00,S1,1
R2_T04,07:35:00,07:36:00,S3,2
R2_T04,07:40:00,07:41:00,S6,3
R2_T04,07:46:00,07:46:00,S10,4
R2_T05,08:00:00,08:00:00,S1,1
R2_T05,08:05:00,08:06:00,S3,2
R2_T05,08:10:00,08:11:00,S6,3
R2_T05,08:16:00,08:16:00,S10,4
R2_T06,06:00:00,06:00:00,S10,1
R2_T06,06:06:00,06:07:00,S6,2
R2_T06,06:11:00,06:12:00,S3,3
R2_T06,06:17:00,06:17:00,S1,4
R2_T07,06:30:00,06:30:00,S10,1
R2_T07,06:36:00,06:37:00,S6,2
R2_T07,06:41:00,06:42:00,S3,3
R2_T07,06:47:00,06:47:00,S1,4
R2_T08,07:00:00,07:00:00,S10,1
R2_T08,07:06:00,07:07:00,S6,2
R2_T08,07:11:00,07:12:00,S3,3
R2_T08,07:17:00,07:17:00,S1,4
R2_T09,07:30:00,07:30:00,S10,1
R2_T09,07:36:00,07:37:00,S6,2
R2_T09,07:41:00,07:42:00,S3,3
R2_T09,07:47:00,07:47:00,S1,4
R2_T10,08:00:00,08:00:00,S10,1
R2_T10,08:06:00,08:07:00,S6,2
R2_T10,08:11:00,08:12:00,S3,3
R2_T10,08:17:00,08:17:00,S1,4
R3_T01,06:05:00,06:05:00,S4,1
R3_T01,06:10:00,06:11:00,S1,2
R3_T01,06:15:00,06:16:00,S2b,3
R3_T01,06:21:00,06:21:00,S7,4
R3_T02,06:35:00,06:35:00,S4,1
R3_T02,06:40:00,06:41:00,S1,2
R3_T02,06:45:00,06:46:00,S2b,3
R3_T02,06:51:00,06:51:00,S7,4
R3_T03,07:05:00,07:05:00,S4,1
R3_T03,07:10:00,07:11:00,S1,2
R3_T03,07:15:00,07:16:00,S2b,3
R3_T03,07:21:00,07:21:00,S7,4
R3_T04,07:35:00,07:35:00,S4,1
R3_T04,07:40:00,07:41:00,S1,2
R3_T04,07:45:00,07:46:00,S2b,3
R3_T04,07:51:00,07:51:00,S7,4
R3_T05,08:05:00,08:05:00,S4,1
R3_T05,08:10:00,08:11:00,S1,2
R3_T05,08:15:00,08:16:00,S2b,3
R3_T05,08:21:00,08:21:00,S7,4
R3_T06,06:05:00,06:05:00,S7,1
R3_T06,06:10:00,06:11:00,S2a,2
R3_T06,06:15:00,06:16:00,S1,3
R3_T06,06:21:00,06:21:00,S4,4
R3_T07,06:35:00,06:35:00,S7,1
R3_T07,06:40:00,06:41:00,S2a,2
R3_T07,06:45:00,06:46:00,S1,3
R3_T07,06:51:00,06:51:00,S4,4
R3_T08,07:05:00,07:05:00,S7,1
R3_T08,07:10:00,07:11:00,S2a,2
R3_T08,07:15:00,07:16:00,S1,3
R3_T08,07:21:00,07:21:00,S4,4
R3_T09,07:35:00,07:35:00,S7,1
R3_T09,07:40:00,07:41:00,S2a,2
R3_T09,07:45:00,07:46:00,S1,3
R3_T09,07:51:00,07:51:00,S4,4
R3_T10,08:05:00,08:05:00,S7,1
R3_T10,08:10:00,08:11:00,S2a,2
R3_T10,08:15:00,08:16:00,S1,3
R3_T10,08:21:00,08:21:00,S4,4
R1_T11,08:30:00,08:30:00,S1,1
R1_T11,08:34:00,08:35:00,S2a,2
R1_T11,08:39:00,08:40:00,S9,3
R1_T11,08:44:00,08:45:00,S5,4
R1_T11,08:50:00,08:50:00,S8,5
R1_T12,08:30:00,08:30:00,S8,1
R1_T12,08:36:00,08:37:00,S5,2
R1_T12,08:41:00,08:42:00,S9,3
R1_T12,08:46:00,08:47:00,S2b,4
R1_T12,08:51:00,08:51:00,S1,5
R2_T11,08:30:00,08:30:00,S1,1
R2_T11,08:35:00,08:36:00,S3,2
R2_T11,08:40:00,08:41:00,S6,3
R2_T11,08:46:00,08:46:00,S10,4
R2_T12,08:30:00,08:30:00,S10,1
R2_T12,08:36:00,08:37:00,S6,2
R2_T12,08:41:00,08:42:00,S3,3
R2_T12,08:47:00,08:47:00,S1,4
R3_T11,08:35:00,08:35:00,S4,1
R3_T11,08:40:00,08:41:00,S1,2
R3_T11,08:45:00,08:46:00,S2b,3
R3_T11,08:51:00,08:51:00,S7,4
R3_T12,08:35:00,08:35:00,S7,1
R3_T12,08:40:00,08:41:00,S2a,2
R3_T12,08:45:00,08:46:00,S1,3
R3_T12,08:51:00,08:51:00,S4,4
