route_id,service_id,trip_id,direction_id
R1,WD,R1_T01,0
R1,WD,R1_T02,0
R1,WD,R1_T03,0
R1,WD,R1_T04,0
R1,WD,R1_T05,0
R1,WD,R1_T06,1
R1,WD,R1_T07,1
R1,WD,R1_T08,1
R1,WD,R1_T09,1
R1,WD,R1_T10,1
R2,WD,R2_T01,0
R2,WD,R2_T02,0
R2,WD,R2_T03,0
R2,WD,R2_T04,0
R2,WD,R2_T05,0
R2,WD,R2_T06,1
R2,WD,R2_T07,1
R2,WD,R2_T08,1
R2,WD,R2_T09,1
R2,WD,R2_T10,1
R3,WD,R3_T01,0
R3,WD,R3_T02,0
R3,WD,R3_T03,0
R3,WD,R3_T04,0
R3,WD,R3_T05,0
R3,WD,R3_T06,1
R3,WD,R3_T07,1
R3,WD,R3_T08,1
R3,WD,R3_T09,1
R3,WD,R3_T10,1
R1,WD,R1_T11,0
R1,WD,R1_T12,1
R2,WD,R2_T11,0
R2,WD,R2_T12,1
R3,WD,R3_T11,0
R3,WD,R3_T12,1
